"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.9.02",-0.14407,-0.039482,0.052821,-0.022075,0.076168,0.013699,0.0053571,0.012393,0.041568,-0.019929,-0.038922,0.062106,0.046185,-0.0034615,-0.053704,0.058663,0.042424,0.095848,0.018214,0.06542,0.10674,0.029881,0.010559,0.0087031,-0.010392,0.068697,0.0059143,0.12809,0.0087609,-0.013324,-0.13912,0.076858,0.11429,0.055827,-0.041178,0.041325,0.023016,-0.045637,-0.052298,-0.067484,-0.039445,0.059151,0.10764,-0.03046,-0.050543,-0.042371,-0.05141,0.15041,0.066895,0.091952
"Bin.8.98",-0.033207,-0.022842,-0.025028,-0.045536,-0.0062158,-0.049624,0.082807,-0.018489,0.12253,0.00025443,-0.026109,-0.065759,0.044701,0.027491,0.025823,0.087609,-0.03859,-0.011864,0.0085142,-0.033249,-0.0083791,0.018629,0.11104,-0.043737,-0.096668,0.053897,-0.15113,0.038872,0.040027,0.031512,-0.12896,0.016459,-0.1335,0.13432,0.075442,0.052548,0.0021373,-0.081811,0.046842,-0.052462,-0.08023,-0.056106,-0.080564,-0.047592,-0.055281,0.11528,-0.017714,0.094976,-0.067558,0.047125
"Bin.8.94",-0.14611,-0.049639,0.031725,-0.060443,0.068228,0.016933,0.047973,0.0011859,0.0096537,-0.045915,-0.030458,0.013204,0.032133,0.030541,-0.006683,0.0043499,-0.025123,0.03074,0.016101,0.10564,0.030312,0.011359,0.08879,9.6659e-05,0.0092152,-0.011761,0.0084646,0.04438,0.012589,0.020442,-0.16013,-0.011143,-0.089156,0.060966,0.13047,0.10312,0.13254,0.022859,-0.1294,-0.069555,-0.025788,-0.084283,-0.059891,0.027989,0.094021,0.049799,0.047639,-0.046157,0.10187,-0.039763
"Bin.8.90",-0.056916,-0.027967,-0.0052052,-0.029535,0.023735,-0.039834,0.074558,-0.021416,0.11288,-0.030763,-0.013833,-0.05798,0.051135,0.032658,0.032455,0.076529,-0.034639,0.0073461,0.039891,0.0074607,-0.023592,-0.0060558,0.11016,-0.0017085,-0.086708,0.052924,-0.11344,0.045806,0.045101,0.069477,-0.090179,0.0078078,-0.061459,0.087314,0.047071,0.051535,0.007082,-0.1521,0.11826,-0.0016406,-0.034412,-0.023009,-0.078243,-0.0036999,0.039317,0.0015528,-0.079202,0.0050628,0.12979,0.023989
"Bin.8.86",-0.045449,0.0027561,0.034883,-0.0070226,0.040577,0.0041955,-0.031242,0.0019663,0.11643,0.12079,-0.096932,0.10999,-0.16651,-0.023377,-0.098378,-0.086198,0.004452,0.061484,-0.085572,0.013698,0.077146,-0.09293,-0.031473,0.070555,0.070957,-0.12595,-0.039409,0.074533,0.00094253,-0.049973,0.1084,0.014307,0.023244,0.12167,-0.014975,0.054043,-0.01037,-0.095438,0.047344,0.082543,0.044797,0.037039,-0.079947,-0.034701,-0.047908,0.054015,0.044291,0.01444,-0.057913,-0.032841
"Bin.8.82",-0.049833,0.016919,0.054413,0.016089,0.043347,-0.0038631,-0.041035,0.024339,0.081483,0.10523,-0.072009,0.083516,-0.17183,0.011898,-0.095955,-0.096045,0.056116,0.089946,-0.071589,0.038881,0.01976,-0.090051,-0.023444,0.032362,0.076354,-0.10919,-0.015175,0.091165,-0.014413,-0.038882,0.14633,0.026019,0.034324,0.089215,-0.0014404,0.091976,-0.022593,-0.09385,-0.032291,-0.019765,0.0010592,0.02604,-0.055601,0.0090997,-0.1251,0.041283,0.011557,0.039636,-0.022308,0.026077
"Bin.8.78",-0.030792,-0.042817,-0.080526,-0.051775,0.038342,-0.041626,-0.10386,-0.020258,0.053205,0.038871,-0.0099975,0.020074,-0.015997,0.020304,-0.028384,-0.1017,0.13756,0.10257,-0.19224,-0.11505,-0.034012,-0.047501,0.021813,-0.037039,-0.0075825,0.14674,-0.095908,0.10522,-0.0095055,-0.10902,-0.13987,-0.046767,0.083419,0.035097,-0.10338,-0.036209,-0.041687,0.05546,-0.14724,0.19697,0.013036,-0.063295,-0.0093497,0.085475,-0.075281,0.11657,-0.10118,-0.13001,0.16011,-0.11258
"Bin.8.74",-0.04984,-0.035025,-0.15541,-0.25733,0.17597,0.048608,-0.11015,0.15456,-0.19982,0.010819,0.11106,0.13025,-0.056284,0.12198,0.06079,-0.034878,0.0073256,0.093898,-0.11055,-0.17382,-0.12667,-0.049548,0.040366,-0.13692,-0.11397,0.042925,-0.096544,-0.016959,-0.078544,-0.030009,0.099184,0.040126,-0.12049,-0.087243,0.01991,0.042175,-0.015165,-0.036431,0.10766,0.063337,0.044156,-0.051909,-0.1241,-0.01605,0.042316,0.052746,-0.051866,-0.018407,-0.087633,0.039481
"Bin.8.70",-0.042688,-0.018526,-0.17588,-0.21754,0.13752,0.054158,-0.065664,0.18543,-0.16852,0.031989,0.092824,0.16524,-0.052586,0.013612,0.098572,0.056758,-0.11682,-0.022808,0.042605,-0.053766,0.034365,0.011999,-0.063412,0.04182,0.13342,-0.17356,0.014343,0.055488,0.036368,0.068226,0.14938,0.08831,-0.075936,0.044251,-0.001881,0.14288,0.12481,0.097706,-0.12296,-0.0088443,-0.13525,0.20557,-0.042104,0.024039,-0.0010752,-0.0684,-0.10702,-0.057393,0.0407,0.17713
"Bin.8.66",-0.035573,-0.038332,-0.096613,-0.079587,0.032039,-0.027601,-0.063685,0.012398,0.020643,0.0023052,-0.027508,0.010928,0.08533,0.02134,0.0026584,0.05549,0.055718,0.032192,-0.045697,-0.05352,-0.032393,-0.047231,-0.0046208,0.012353,-0.02636,-0.022669,-0.050466,0.031926,0.049973,0.053565,0.022196,0.0083562,0.015318,0.033485,-0.015829,-0.0036103,0.019619,0.058571,-0.092827,-0.04175,-0.0093244,-0.0069358,0.052137,0.012176,0.056993,0.04714,-0.045621,-0.041753,0.014098,0.058045
"Bin.8.62",-0.034635,-0.031391,-0.11923,-0.19578,0.10472,0.030087,-0.13046,0.17341,-0.035326,-0.040393,0.096002,0.13002,0.077778,-0.052597,-0.11883,0.19074,0.050499,-0.045126,0.080532,-0.11849,-0.010264,0.034341,-0.12256,0.041731,0.020115,0.062778,-0.20184,0.018251,-0.10031,0.090603,0.078741,0.015575,0.10028,-0.014081,0.046735,-0.025114,-0.031285,0.01351,0.095515,-0.089194,0.1044,0.013148,0.049238,-0.024805,-0.015726,-0.054772,-0.072162,-0.0068047,0.0086183,-0.060073
