"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.2.18",-0.011268,0.013302,-0.014228,-0.029461,-0.034445,-0.071546,0.0057588,0.037738
"Bin.2.14",0.016336,0.028562,-0.017313,-0.012112,0.0089577,0.011219,-0.10534,0.096571
"Bin.2.10",0.044253,0.03149,-0.0017429,0.0035769,0.013416,0.063232,-0.040524,0.011739
"Bin.2.06",0.029956,0.025049,-0.0065533,-0.013058,-0.0099673,0.088253,-0.0085536,-0.032386
"Bin.2.02",0.018874,0.03178,-0.010137,-0.00055819,0.021306,0.095986,-0.020027,0.037647
"Bin.1.98",0.036119,0.030817,-0.0097881,0.0039204,0.0041455,0.061297,0.0026694,0.011252
"Bin.1.94",0.031117,0.027105,-0.00024571,0.013392,0.020925,0.032373,-0.031253,-0.01571
"Bin.1.90",0.027146,0.02865,0.0012533,0.019202,0.042943,0.079766,-0.043933,0.056663
"Bin.1.86",0.046385,0.020789,-0.0082728,0.0054319,0.0046558,0.037526,0.0087206,-0.001036
"Bin.1.82",0.041899,0.019603,-0.012571,-0.0096354,0.002086,0.067304,-0.0085382,-0.031065
"Bin.1.78",0.04728,0.020932,-0.018968,0.0013518,-0.015847,0.070057,-0.0094323,-0.00028022
"Bin.1.74",0.054148,0.023362,-0.020556,0.011359,0.0063697,0.046896,-0.056127,-0.019624
"Bin.1.70",0.066482,0.028151,-0.011694,0.011387,0.012606,0.05084,-0.022731,-0.023168
"Bin.1.66",0.052043,0.028641,-0.0063202,-0.0087736,0.0055531,0.048579,-0.015758,0.032636
"Bin.1.62",0.053425,0.029103,-0.0085326,-0.0060231,0.02314,0.044233,-0.021128,0.013635
"Bin.1.58",0.048943,0.030162,-0.016871,-0.013878,0.0062642,0.042552,-0.023287,-0.03173
"Bin.1.54",0.044891,0.028047,-0.011814,0.014181,0.00082796,0.038652,-0.04597,-0.057015
"Bin.1.50",0.052521,0.016337,-0.024585,-0.0073797,0.0040073,0.024934,-0.107,0.019462
"Bin.1.46",0.04916,0.019214,-0.016271,0.0043996,0.027724,0.027056,-0.085581,0.069951
"Bin.1.42",0.066705,0.019876,-0.012981,0.0063457,0.029128,0.031812,-0.047921,0.018839
"Bin.1.38",0.043522,0.02447,-0.0049579,-0.0028515,0.027265,0.06121,-0.032722,0.037299
"Bin.1.34",0.023617,0.039389,-0.0052458,-0.014276,0.055234,0.030287,-0.096638,0.11056
"Bin.1.30",0.0067522,0.03965,-0.015189,-0.038437,0.040827,0.020806,-0.065359,0.048018
"Bin.1.26",-0.014385,0.020912,-0.044116,-0.052977,-0.018288,0.014084,-0.059642,-0.02151
"Bin.1.22",0.0075854,0.015777,-0.021821,-0.047987,0.0042097,0.045401,-0.058567,0.047186
"Bin.1.18",0.033165,0.022539,-0.0042025,-0.023767,0.050103,0.062345,-0.083537,0.13397
"Bin.1.14",0.042743,0.0047192,0.0068143,-0.014836,0.052881,0.030993,-0.05622,0.14037
"Bin.1.10",0.021939,0.0016758,-0.04063,-0.025096,-0.01599,0.046524,-0.035104,0.010883
"Bin.1.06",0.059176,0.011394,-0.028443,-0.0050747,0.01487,0.020275,-0.088698,0.061708
"Bin.1.02",0.10271,0.017873,-0.0092724,0.0086345,0.011457,-0.021441,-0.0357,-0.036137
"Bin.0.98",0.10646,0.026664,-0.0073217,-0.00011977,0.012476,0.0093708,-0.049979,-0.011747
"Bin.0.94",0.10343,0.030043,0.0055968,0.0083829,0.026232,0.031882,-0.038265,0.0056572
"Bin.0.90",0.07469,0.031499,-0.0096804,-0.0086916,0.029528,0.014701,-0.059933,0.0095338
"Bin.0.86",0.090221,0.033018,-0.0088967,-0.01117,0.023941,0.013599,-0.042172,-0.0036919
"Bin.0.82",0.13288,0.024394,0.0032691,0.027133,0.031374,0.00088807,0.014405,-0.030023
"Bin.0.78",0.13387,0.0039509,0.0024379,0.030572,0.0059869,-0.01819,0.0037517,-0.062887
"Bin.0.74",0.089966,-0.20377,0.066969,0.094217,-0.064468,0.046409,-0.069829,-0.01193
"Bin.0.70",0.12226,-0.2051,0.066983,0.089002,-0.070992,0.052706,-0.047871,0.0036626
"Bin.0.66",0.12462,-0.2044,0.064336,0.098855,-0.067152,0.076176,-0.043504,-0.018779
"Bin.0.62",0.17351,-0.19779,0.06593,0.10149,0.001078,-0.19542,0.13697,-0.037072
"Bin.0.58",0.16617,-0.19956,0.06028,0.096437,0.023707,-0.17911,0.11334,0.027248
"Bin.0.54",0.15426,-0.20506,0.059419,0.087238,0.01927,-0.14206,0.11354,0.038219
"Bin.0.50",0.22195,-0.16485,0.045238,0.1531,0.012901,-0.2606,0.28283,-0.17433
"Bin.0.46",0.21345,-0.18085,-0.011587,0.032038,0.071688,-0.30635,0.1741,0.087886
"Bin.0.42",0.1705,-0.17209,-0.077007,0.078801,-0.12506,0.14651,0.037718,-0.26888
"Bin.0.38",0.11658,-0.19221,-0.014353,0.0039202,-0.121,0.28661,0.11489,-0.10127
"Bin.0.34",0.17793,-0.18696,-0.044791,0.04019,-0.061055,-0.16717,0.023981,0.029444
"Bin.0.30",0.20263,-0.18047,-0.090055,0.072595,-0.054116,0.02966,0.17517,-0.26365
"Bin.0.26",0.25179,-0.16084,-0.072344,0.050694,0.022248,-0.0029379,-0.045138,0.052312
"Bin.0.22",0.25821,-0.17292,-0.045825,-0.04966,0.058922,-0.016,0.012863,0.089326
