"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.2.02",0.080741,-0.12468,0.064226,0.14592,-0.0078326,-0.061712,0.14721,0.0065238
"Bin.1.98",0.11413,-0.10186,0.054813,0.1637,-0.082532,-0.036345,0.0011222,0.0069108
"Bin.1.94",0.096532,-0.017022,0.06998,-0.053652,-0.10953,-0.057473,0.049724,-0.014258
"Bin.1.90",0.094151,-0.0561,0.072209,-0.0088278,0.019818,-0.15748,0.10314,0.024098
"Bin.1.86",0.12431,-0.070336,0.018335,0.14411,-0.097453,-0.0023748,0.00096227,0.058225
"Bin.1.82",0.11204,-0.092963,0.0066711,0.12372,-0.13958,-0.028982,0.066108,-0.0023184
"Bin.1.78",0.1171,-0.097997,0.0087959,0.12165,-0.11655,-0.037096,-0.0038699,0.030609
"Bin.1.74",0.12437,-0.10372,-0.0013841,0.068359,-0.059438,-0.021494,-0.022346,0.073029
"Bin.1.70",0.14101,-0.070945,0.0081154,0.095395,-0.087586,0.013096,-0.025567,0.055124
"Bin.1.66",0.13328,-0.091435,0.02102,0.089989,-0.055561,-0.03141,-0.012485,-0.031526
"Bin.1.62",0.13763,-0.089251,0.02302,0.049055,-0.027325,-0.030218,-0.042107,0.019307
"Bin.1.58",0.12531,-0.10724,0.022477,0.051874,-0.1157,-0.024232,-0.0055473,0.0015526
"Bin.1.54",0.098195,-0.068794,0.03928,0.040387,-0.041821,-0.093299,0.049819,0.085652
"Bin.1.50",0.11463,-0.12264,-0.018582,-0.040251,0.032023,-0.10221,-0.066336,0.052066
"Bin.1.46",0.1129,-0.093801,0.015178,-0.065738,0.14733,-0.13965,-0.097374,0.053305
"Bin.1.42",0.14411,-0.071645,0.00027509,-0.01462,0.051188,-0.061251,-0.087977,0.083291
"Bin.1.38",0.11718,-0.08343,0.027209,0.085473,-0.026745,-0.074453,0.089873,-0.013691
"Bin.1.34",0.07125,-0.089331,0.075402,-0.10925,0.16948,-0.17571,0.062272,0.054427
"Bin.1.30",0.048697,-0.12769,0.066315,-0.079144,0.055517,-0.10511,0.10539,-0.016851
"Bin.1.26",-0.00062485,-0.20722,-0.0044789,-0.022299,-0.023998,0.047827,-0.013402,-0.040932
"Bin.1.22",0.033412,-0.14338,-0.00888,-0.050337,0.15853,-0.02292,-0.02747,0.032921
"Bin.1.18",0.074923,-0.083729,0.019839,-0.088672,0.20003,-0.096113,0.05819,0.027851
"Bin.1.14",0.070592,-0.03411,-0.0076192,-0.027333,0.12563,-0.12693,0.059179,-0.024117
"Bin.1.10",0.041731,-0.13658,-0.050628,0.073826,-0.066291,0.079111,0.041091,-0.018349
"Bin.1.06",0.11536,-0.11676,-0.037642,0.044347,0.019087,-0.026919,-0.053413,0.045085
"Bin.1.02",0.14469,-0.027066,-0.03251,0.016725,-0.025685,0.056529,-0.11295,0.076525
"Bin.0.98",0.149,-0.047887,-0.022636,0.034464,-0.0084384,0.044876,-0.088114,0.05045
"Bin.0.94",0.15732,-0.023619,-0.0060613,0.06269,-0.033916,0.039877,-0.033105,0.025544
"Bin.0.90",0.14166,-0.077447,-0.0021885,0.061388,-0.06221,0.036844,-0.035542,-0.0079112
"Bin.0.86",0.14629,-0.055694,-0.0053637,0.041449,-0.083383,0.057347,-0.014577,-0.0023974
"Bin.0.82",0.15466,0.0094729,-0.017288,0.080383,-0.071145,0.071607,-0.051258,0.041385
"Bin.0.78",0.14467,0.025343,-0.054235,0.07941,-0.081058,0.078745,-0.08175,0.043525
"Bin.0.74",0.0065283,0.12099,-0.16284,0.027593,0.036309,-0.079047,-0.003062,0.054529
"Bin.0.70",0.020488,0.12169,-0.16423,0.029691,0.043718,-0.057658,0.00073459,0.059257
"Bin.0.66",0.022645,0.12088,-0.16152,0.034702,0.03089,-0.071732,-0.0067081,0.070311
"Bin.0.62",0.036799,0.11868,-0.13953,0.056089,0.061358,-0.0076636,-0.075711,0.06956
"Bin.0.58",0.035049,0.10978,-0.13984,0.044345,0.098435,-0.012111,-0.075209,0.075656
"Bin.0.54",0.029701,0.11116,-0.14492,0.050212,0.081142,-0.021314,-0.044429,0.065432
"Bin.0.50",0.046819,0.11202,-0.094991,0.096739,0.026017,0.023498,-0.1548,0.11003
"Bin.0.46",0.048905,0.051323,-0.1227,0.049358,0.063872,0.012792,-0.18159,0.050893
"Bin.0.42",0.039655,0.013147,-0.12316,0.014793,0.020805,-0.014479,-0.076344,0.12511
"Bin.0.38",0.018183,0.041076,-0.14377,-0.0026232,0.039582,-0.052108,0.096479,0.11816
"Bin.0.34",0.038185,0.029496,-0.1264,0.017901,0.045909,-0.085464,-0.10779,0.10496
"Bin.0.30",0.043419,0.014201,-0.11086,0.048903,0.011473,-0.068662,-0.098988,0.14145
"Bin.0.26",0.063655,0.0014449,-0.10165,0.062981,0.063611,-0.090008,-0.055901,0.10475
"Bin.0.22",0.062017,0.022272,-0.10792,-0.0032876,0.091759,-0.075082,0.012683,0.063281
