"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.9.18",-0.060535,0.071034,0.070706,0.096737,0.016927,0.037302,0.023695,-0.024407,-0.025953,-0.044554,-0.024943,0.074192,0.071796,0.066289,0.10616,-0.1352,0.098942,0.13862,-0.10777,0.11729,0.14683,-0.099893,-0.15076,-0.023969,-0.045375,0.069386,-0.060939,0.06514,-0.018896,0.052423,-0.043429,-0.022978,-0.055151,-0.066531,0.21349,-0.13211,-0.088178,-0.097331,0.01865,0.011338,0.0041177,-0.028339,-0.041471,-0.10801,-0.053478,-0.049979,0.057789,-0.047384,-0.027782,-0.071793
"Bin.9.14",-0.090808,0.00050164,-0.037608,0.0062212,-0.0061112,-0.063182,0.094429,-0.10121,0.10379,0.12283,-0.095021,-0.049309,0.21016,0.035052,0.0429,-0.0050495,-0.041283,0.04987,-0.027241,-0.10787,-0.058859,0.0089313,-0.0056712,0.011078,0.0079165,0.095514,0.096931,-0.10333,-0.055744,0.055933,0.021718,-0.039293,-0.0012327,-0.053276,0.089092,-0.015228,0.036551,0.0098443,-0.081725,0.070953,0.088062,-0.015511,0.048469,-0.0014736,0.0095184,0.0039503,-0.060306,0.013324,-0.028943,0.051611
"Bin.9.10",-0.1246,0.075161,0.0098174,0.012644,-0.078454,0.0072185,-0.03956,0.010733,0.02229,-0.012245,-0.02136,-0.041136,0.02698,0.0055156,0.012806,-0.056303,0.0014687,0.021462,0.019409,0.011996,0.016376,-0.012821,0.0021871,-0.010071,-0.019096,0.073608,0.023386,-0.069413,-0.024779,0.005196,-0.031121,-0.018268,0.018787,0.028305,-0.020133,0.054165,0.050986,0.030626,0.088952,0.036719,0.072397,0.017191,-0.075585,0.037941,0.02245,0.057495,-0.048793,0.074584,0.017706,-0.091146
"Bin.9.06",-0.11405,0.076875,-0.00063988,0.01035,-0.073085,0.015654,-0.068713,-0.02719,0.055386,0.00071495,-0.048483,-0.020157,0.036601,0.051919,-0.0040012,-0.080472,0.047416,0.017838,0.035524,0.032298,0.053433,-0.080229,0.00989,0.019973,-0.071967,-0.058343,0.045946,-0.059575,-0.055215,0.062119,-0.061103,-0.066893,-0.053938,-0.045174,0.010684,0.081917,0.047624,-0.0081208,0.06267,-0.094285,0.068279,0.09128,0.067309,0.040075,-0.018682,-0.014496,0.014038,-0.0076817,0.0074972,-0.069718
"Bin.9.02",-0.11149,0.094461,0.012598,0.023884,-0.05224,-0.025996,-0.059727,0.028943,0.054703,-0.010253,-0.017783,-0.048971,0.025657,-0.0068363,-0.010518,-0.0037649,0.00063574,0.03414,0.078628,-0.045688,0.0099504,-0.020371,0.04662,0.023357,-0.020596,-0.0088654,-0.0064164,-0.038663,0.057925,-0.030047,-0.011733,0.023126,0.088604,0.00036681,-0.037996,-0.029793,0.043147,0.035361,-0.047189,0.079638,0.099274,-0.076776,-0.10793,0.043785,0.032075,0.033829,-0.065507,0.083887,0.063748,-0.017174
"Bin.8.98",-0.0061785,0.099047,-0.089355,0.11163,-0.066782,0.059135,-0.0463,0.017864,-0.00023533,0.044482,0.022851,-0.0012861,-0.038903,0.1043,-0.065316,0.018554,0.060809,-0.099113,0.12951,0.024159,0.1607,-0.12989,0.019964,-0.055296,0.039143,-0.11579,0.044457,-0.08525,-0.070471,-0.0064488,-0.050864,0.098782,0.049095,-0.0035371,0.010351,0.036592,-0.10844,0.077079,0.029559,-0.051914,0.065782,0.11432,-0.022128,0.03605,0.11487,0.1385,0.10721,0.078933,-0.12702,0.18514
"Bin.8.94",-0.099415,0.10887,0.027562,0.034568,-0.055583,0.0060903,-0.079306,0.028626,0.031736,0.01923,0.0023305,-0.019659,0.025672,-0.0034098,-0.00041986,-0.016841,0.021719,0.0057886,0.041601,0.042031,0.035759,-0.023546,0.010581,-0.0084818,0.094152,0.025405,-0.0051992,-0.089782,0.045868,-0.012661,-0.020503,0.03107,0.047024,0.043385,-0.044992,-0.064711,-0.014267,-0.010689,0.026436,-0.043521,-0.038579,-0.059293,-0.039753,0.087402,0.0741,-0.027174,-0.04024,0.028693,0.056641,0.084885
"Bin.8.90",-0.050436,0.10711,-0.05868,0.083335,-0.083669,0.06103,-0.059564,0.060526,-0.0063613,0.034758,0.018175,-0.014049,-0.020491,0.097074,-0.080396,-0.0067047,0.070052,-0.060725,0.13893,0.012701,0.065941,-0.096128,0.028937,-0.023313,0.071446,-0.10663,-0.019287,-0.077531,-0.059823,-0.032083,-0.038833,0.058941,0.0083963,0.038942,0.026829,0.040029,0.011485,0.056797,-0.077381,-0.021486,0.06569,0.12185,0.051421,0.038795,0.016244,0.094677,-0.044167,-0.029643,0.097351,0.0047635
"Bin.8.86",-0.078557,0.03774,-0.053725,-0.016626,-0.0022511,-0.055123,0.083663,-0.090508,0.12907,0.14663,-0.063229,-0.03819,0.21672,0.043769,0.047171,-0.015372,-0.048722,0.073262,-0.014836,-0.10731,-0.043013,0.051625,0.013075,0.018578,0.02565,0.060257,0.13156,-0.063683,-0.030558,0.074816,-0.0057829,-0.048968,0.01512,-0.00048451,0.026555,0.023289,0.00033751,0.028143,-0.10797,0.012787,0.079293,0.033795,0.024327,0.053824,0.037966,-0.0037652,0.017907,-0.026442,-0.036663,-0.079925
"Bin.8.82",-0.10084,0.017146,-0.035579,-0.022987,-0.0017533,-0.04462,0.096821,-0.055241,0.078016,0.12339,-0.076871,-0.075936,0.19725,0.031198,0.058454,-0.038302,-0.063155,0.047926,-0.020122,-0.094529,-0.050993,0.02648,-0.012369,-0.016791,0.02414,0.11907,0.089215,-0.084753,-0.064389,0.081328,0.028739,-0.069814,0.031805,0.017645,0.047952,0.033426,-0.026681,0.017945,-0.033842,0.048345,0.090555,-0.0067677,-0.04406,-0.00328,0.016512,0.058178,0.037833,0.025204,-0.030121,0.011747
